acc
SRR11404616
SRR10203112
SRR5321944
SRR5322077
SRR5329428
SRR5324004
SRR5324126
SRR5329558
SRR5323153
SRR5323096
SRR5329448
SRR5324601
SRR5323135
SRR5323181
SRR5324527
SRR6486124
SRR6485694
SRR6482212
SRR6485916
SRR6482133
SRR6482095
SRR6487367
SRR6482614
SRR6482764
SRR6486536
SRR6482779
SRR6482884
SRR7787305
SRR7539578
SRR7539532
SRR5037069
SRR5036944
SRR5036830
SRR5037065
SRR5329751
SRR5329898
SRR5330260
SRR5330087
SRR11404610
SRR5872872
SRR5321775
SRR5321891
SRR5321457
SRR5321618
SRR5322085
SRR5321067
SRR5324722
SRR5329567
SRR5322543
SRR5324506
SRR5322571
SRR5329425
SRR5324431
SRR5324191
SRR5329408
SRR5323296
SRR5329573
SRR5324489
SRR5323302
SRR6486003
SRR6487749
SRR6487792
SRR6487888
SRR6486084
SRR6486262
SRR6487486
SRR6482737
SRR6487605
SRR7787738
SRR7539343
SRR7539539
SRR5036888
SRR5036929
SRR5036717
SRR5036749
SRR5329596
SRR5329821
SRR5330206
SRR5330333
SRR5329780
SRR5329776
SRR5330288
SRR5330007
SRR5330341
SRR5330261
SRR11553100
SRR15082120
SRR5321704
SRR5321977
SRR5321727
SRR5321363
SRR5321840
SRR5320996
SRR5320993
SRR5321177
SRR5320965
SRR5320967
SRR5324702
SRR5324721
SRR5323201
SRR5324387
SRR5329460
SRR5329553
SRR5324152
SRR5324944
SRR5323168
SRR5323770
SRR5322809
SRR5325192
SRR6483023
SRR6486386
SRR6482921
SRR6482483
SRR6486287
SRR6487997
SRR6483108
SRR6487603
SRR7787190
SRR7540126
SRR7540116
SRR7787552
SRR5036631
SRR5037013
SRR3226055
SRR5329610
SRR5330237
SRR5329894
SRR5329956
SRR5330189
SRR11404547
SRR11404550
SRR6202052
SRR8625966
SRR8626010
SRR8626291
SRR5321326
SRR5321616
SRR5324546
SRR5325248
SRR5323758
SRR5322933
SRR5324603
SRR5324477
SRR5324791
SRR5323279
SRR5324532
SRR5325326
SRR5324151
SRR6486076
SRR6482287
SRR6487425
SRR6482504
SRR6482828
SRR6488203
SRR6488204
SRR6488099
SRR6488076
SRR6487700
SRR6488199
SRR6482397
SRR6482446
SRR6486412
SRR6487579
SRR6485782
SRR7539895
SRR7539458
SRR5036843
SRR5036956
SRR5330079
SRR5329831
SRR5329880
SRR5322482
SRR11404574
SRR8626093
SRR8625974
SRR8626220
SRR5321101
SRR5321485
SRR5321965
SRR5321019
SRR5321228
SRR5321846
SRR5321063
SRR5324653
SRR5323340
SRR5322568
SRR5324437
SRR5322583
SRR5323209
SRR5324759
SRR5322485
SRR5323430
SRR5324793
SRR5325070
SRR6487426
SRR6488075
SRR6483167
SRR6487739
SRR6482272
SRR6482378
SRR6482994
SRR6482180
SRR6482559
SRR6486605
SRR6487963
SRR6488282
SRR7787589
SRR7787143
SRR7540069
SRR7539790
SRR5037117
SRR5037134
SRR5329615
SRR5329660
SRR5330111
SRR5330099
SRR5330027
SRR5329886
SRR5330175
SRR5329623
SRR11404580
SRR15082113
SRR8626129
SRR8626248
SRR5321678
SRR5320853
SRR5322037
SRR5320952
SRR5321260
SRR5321649
SRR5321890
SRR5321348
SRR5324749
SRR5326190
SRR5323130
SRR5323082
SRR5329406
SRR6482196
SRR6482805
SRR6487377
SRR6482102
SRR6488073
SRR6487678
SRR6483102
SRR6488132
SRR6482695
SRR7792426
SRR7539663
SRR7539420
SRR7787250
SRR7539718
SRR5036665
SRR5330157
SRR5330392
SRR5330390
SRR5330374
SRR5329716
SRR5329694
SRR15635843
SRR11404605
SRR15082115
SRR5753874
SRR8626275
SRR5321540
SRR5322094
SRR5321474
SRR5321988
SRR5321825
SRR5321842
SRR5323180
SRR5323314
SRR5324373
SRR5323267
SRR5325898
SRR5323173
SRR5323446
SRR5329463
SRR5322581
SRR6486148
SRR6488248
SRR6488243
SRR6482299
SRR6488080
SRR6483150
SRR7792440
SRR7792500
SRR7539885
SRR7787404
SRR7787053
SRR7539741
SRR5037152
SRR5036797
SRR5037155
SRR5037103
SRR5036683
SRR5330130
SRR5329771
SRR5330117
SRR5329666
SRR5329942
SRR5330012
SRR3183280
SRR11404538
SRR11404545
SRR11404571
SRR8626001
SRR8626131
SRR8626069
SRR5322041
SRR5321382
SRR5321197
SRR5321746
SRR5322031
SRR5321355
SRR5325294
SRR5329549
SRR5322576
SRR5323172
SRR5323091
SRR5323318
SRR6488131
SRR6482678
SRR6487396
SRR6485853
SRR6482608
SRR6482353
SRR6487677
SRR6487398
SRR6482304
SRR6486382
SRR6488287
SRR6482722
SRR6486173
SRR7539593
SRR7787550
SRR5330251
SRR5329949
SRR5330165
SRR5329724
SRR5330018
SRR5330144
SRR5329631
SRR5330363
SRR5330355
SRR11404589
SRR6132210
SRR8626094
SRR8626259
SRR8867079
SRR5320882
SRR5322110
SRR5322043
SRR5322042
SRR5320868
SRR5321301
SRR5324550
SRR5324630
SRR5324427
SRR5324567
SRR5322487
SRR5325244
SRR5324177
SRR5324737
SRR5324475
SRR5323327
SRR6488070
SRR6482811
SRR6488149
SRR6483172
SRR6482656
SRR6482939
SRR6487745
SRR7539636
SRR5037067
SRR5037191
SRR5036725
SRR5037006
SRR5330100
SRR5330034
SRR5330021
SRR5329903
SRR5329612
SRR5329775
SRR5325135
SRR11404618
SRR11404595
SRR5753876
SRR8626109
SRR8626286
SRR8626027
SRR5321215
SRR5322106
SRR5321351
SRR5321736
SRR5320883
SRR5321210
SRR5324616
SRR5324399
SRR5323171
SRR5324476
SRR5325322
SRR5324624
SRR5324957
SRR5323186
SRR6488081
SRR6487639
SRR6482854
SRR6482503
SRR6482839
SRR6487837
SRR6486434
SRR6486035
SRR6482235
SRR6486591
SRR7792484
SRR7787548
SRR7787678
SRR7787038
SRR7787252
SRR5037122
SRR5036711
SRR5037085
SRR5037031
SRR2181617
SRR5330109
SRR5330071
SRR5330360
SRR5330300
SRR5329996
SRR5329828
SRR11404528
SRR11404601
SRR8626012
SRR8626098
SRR8626196
SRR8863614
SRR5321787
SRR5321993
SRR5320910
SRR5321295
SRR5320956
SRR5324769
SRR5329540
SRR5322588
SRR5324631
SRR5323175
SRR5326232
SRR5324968
SRR5323127
SRR5324185
SRR5323335
SRR6486423
SRR6486477
SRR6487392
SRR6485854
SRR6488334
SRR6487860
SRR6488269
SRR6487817
SRR6487406
SRR6488108
